,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nikolskoye,75,RU,1612026470,93,59.7035,30.7861,-2.0,5.0
1,Korla,0,CN,1612026663,79,41.7597,86.1469,-3.89,2.65
2,San Nicolas,28,PH,1612026684,71,18.1725,120.5953,20.24,4.66
3,Hambantota,90,LK,1612026671,83,6.1241,81.1185,25.65,5.26
4,Chokurdakh,3,RU,1612026613,85,70.6333,147.9167,-33.85,3.18
5,Ponta do Sol,39,PT,1612026465,73,32.6667,-17.1,17.78,1.79
6,Busselton,0,AU,1612026691,63,-33.65,115.3333,20.0,0.89
7,Umarga,3,IN,1612026693,37,17.8333,76.6167,24.02,2.16
8,Ushuaia,20,AR,1612026459,62,-54.8,-68.3,11.0,11.83
9,Narasannapeta,1,IN,1612026696,77,18.4167,84.05,22.53,0.53
10,Vallenar,0,CL,1612026698,18,-28.5708,-70.7581,31.71,5.22
11,Chui,7,UY,1612026494,48,-33.6971,-53.4616,29.3,5.13
12,Tiksi,100,RU,1612026652,86,71.6872,128.8694,-32.42,2.49
13,Saskylakh,35,RU,1612026702,78,71.9167,114.0833,-39.2,3.57
14,Norman Wells,75,CA,1612026704,75,65.282,-126.8329,-33.0,0.76
15,Dikson,29,RU,1612026659,82,73.5069,80.5464,-37.54,4.18
16,Río Cuarto,90,AR,1612026710,94,-33.1307,-64.3499,16.0,7.2
17,Adrar,31,MR,1612026712,13,20.5022,-10.0711,29.11,5.18
18,Egvekinot,0,RU,1612026714,83,66.3167,-179.1667,-31.97,4.3
19,Roshchino,89,RU,1612026715,98,60.2519,29.6085,-2.22,2.97
20,Roald,40,NO,1612026643,75,62.5833,6.1333,1.0,3.6
21,Cape Town,20,ZA,1612026580,47,-33.9258,18.4232,26.0,5.14
22,Vila Franca do Campo,75,PT,1612026616,94,37.7167,-25.4333,18.33,6.69
23,Tasiilaq,75,GL,1612026620,41,65.6145,-37.6368,-9.0,7.72
24,Cidreira,35,BR,1612026640,67,-30.1811,-50.2056,29.59,3.83
25,Paamiut,92,GL,1612026725,87,61.994,-49.6678,-0.47,3.66
26,Hobart,1,AU,1612026607,82,-42.8794,147.3294,11.67,2.06
27,Barrow,90,US,1612026728,77,71.2906,-156.7887,-22.0,4.12
28,Saint Paul Harbor,1,US,1612026730,55,57.79,-152.4072,0.0,11.32
29,Bonthe,23,SL,1612026731,64,7.5264,-12.505,29.38,5.49
30,Severo-Kuril'sk,100,RU,1612026733,96,50.6789,156.125,-4.7,13.25
31,Noril'sk,0,RU,1612026735,70,69.3535,88.2027,-35.34,1.87
32,Tegul'det,0,RU,1612026689,84,57.3064,88.1667,-33.43,0.84
33,Barcelos,40,PT,1612026738,76,41.5388,-8.6151,13.0,4.63
34,Storslett,100,NO,1612026739,89,69.7678,21.0247,-6.11,3.59
